RSSI,actual_cp,RF_cp,SVM_cp,3NN_cp,5NN_cp,7NN_cp,10NN_cp,15NN_cp
"[-73, -69, -73, -59, -73, -68]",E,E,E,E,E,E,E,E
"[-76, -49, -82, -53, -69, -55]",E,E,E,E,E,E,E,E
"[-74, -72, -67, -47, -66, -46]",E,E,E,E,E,E,E,E
"[-80, -79, -73, -49, -62, -53]",E,E,E,E,E,E,E,E
"[-69, -61, -65, -67, -78, -71]",D,D,D,D,D,D,D,D
"[-66, -52, -69, -61, -76, -62]",E,E,E,E,E,E,E,E
"[-74, -65, -67, -61, -75, -49]",B,E,E,E,E,E,E,E
"[-74, -65, -68, -61, -76, -49]",B,E,E,E,E,E,E,E
"[-80, -79, -70, -49, -55, -54]",E,E,E,E,E,E,E,E
"[-76, -59, -70, -58, -73, -59]",E,E,E,E,E,E,E,E
"[-76, -53, -76, -56, -60, -64]",E,A,E,E,E,E,E,E
"[-77, -68, -78, -48, -57, -67]",A,A,A,A,A,A,A,A
"[-78, -67, -77, -48, -58, -66]",A,A,E,E,A,A,E,E
"[-69, -52, -74, -62, -85, -58]",E,E,C,C,C,C,C,C
"[-82, -68, -73, -61, -65, -51]",E,E,E,E,E,E,E,E
"[-65, -52, -74, -66, -62, -57]",E,D,E,E,E,E,E,E
"[-75, -61, -76, -55, -61, -65]",E,A,E,A,E,E,E,E
"[-70, -63, -80, -51, -57, -56]",E,A,A,E,E,E,E,E
"[-75, -70, -77, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-75, -71, -77, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-70, -64, -79, -69, -80, -78]",D,D,D,D,D,D,D,D
"[-55, -65, -60, -78, -84, -67]",C,C,C,C,C,C,C,C
"[-65, -64, -65, -58, -69, -69]",C,E,E,E,E,E,E,E
"[-71, -72, -86, -58, -49, -61]",A,A,A,A,A,A,A,A
"[-79, -68, -73, -61, -65, -50]",E,E,E,E,E,E,E,E
"[-74, -71, -68, -47, -66, -46]",E,E,E,E,E,E,E,E
"[-74, -63, -78, -60, -52, -57]",B,A,A,A,A,A,A,A
"[-77, -80, -74, -49, -62, -52]",E,E,E,E,E,E,E,E
"[-80, -79, -71, -49, -56, -54]",E,E,E,E,E,E,E,E
"[-75, -72, -67, -47, -68, -45]",E,E,E,E,E,E,E,E
"[-79, -79, -70, -48, -55, -52]",E,E,E,E,E,E,E,E
"[-88, -81, -77, -66, -67, -58]",A,B,B,B,B,B,B,B
"[-74, -70, -76, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-65, -64, -77, -73, -79, -73]",D,D,D,D,D,D,D,D
"[-68, -58, -71, -58, -74, -54]",E,E,E,E,E,E,E,E
"[-81, -67, -71, -61, -64, -48]",E,E,E,E,E,E,E,E
"[-81, -75, -67, -54, -70, -24]",B,E,E,E,E,E,E,E
"[-77, -31, -73, -55, -65, -56]",E,E,E,E,E,E,E,E
"[-66, -52, -75, -60, -76, -57]",E,A,E,E,E,E,E,E
"[-70, -61, -67, -66, -79, -70]",D,C,D,D,D,D,D,D
"[-89, -81, -78, -66, -66, -58]",A,B,B,B,B,B,B,B
"[-83, -67, -71, -60, -65, -47]",E,E,E,E,E,E,E,E
"[-74, -70, -68, -47, -66, -46]",E,E,E,E,E,E,E,E
"[-76, -58, -69, -58, -72, -58]",E,E,E,E,E,E,E,E
"[-64, -65, -65, -58, -70, -69]",C,E,E,E,E,E,E,E
"[-61, -67, -66, -66, -72, -66]",D,D,C,C,C,C,C,C
"[-77, -80, -74, -49, -62, -52]",E,E,E,E,E,E,E,E
"[-66, -49, -72, -60, -71, -65]",E,E,E,E,E,E,E,E
"[-75, -70, -77, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-75, -50, -79, -54, -67, -55]",E,E,E,E,E,E,E,E
"[-78, -71, -77, -52, -61, -58]",A,A,E,E,E,E,E,E
