Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Best_Shift,Best_accuracy,Best_coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord
B,A,E,"[3.05, 4.3]","[-80, -52, -68, -53, -60, -62]",9,1.001,"(3.0, 5.3)",0,3.4,"(3.0, 7.7)",1,3.1,"(3.0, 7.4)",2,2.8,"(3.0, 7.1)",3,2.6,"(3.0, 6.9)",4,2.301,"(3.0, 6.6)",5,2.001,"(3.0, 6.3)",6,1.801,"(3.0, 6.1)",7,1.501,"(3.0, 5.8)",8,1.201,"(3.0, 5.5)",9,1.001,"(3.0, 5.3)"
C,D,E,"[1.8, 4.8]","[-72, -68, -73, -58, -73, -68]",9,1.204,"(3.0, 4.7)",0,2.773,"(3.0, 2.3)",1,2.506,"(3.0, 2.6)",2,2.247,"(3.0, 2.9)",3,2.081,"(3.0, 3.1)",4,1.844,"(3.0, 3.4)",5,1.628,"(3.0, 3.7)",6,1.5,"(3.0, 3.9)",7,1.342,"(3.0, 4.2)",8,1.237,"(3.0, 4.5)",9,1.204,"(3.0, 4.7)"
C,D,E,"[3, 1.95]","[-65, -65, -66, -59, -69, -69]",0,0.35,"(3.0, 2.3)",0,0.35,"(3.0, 2.3)",1,0.65,"(3.0, 2.6)",2,0.95,"(3.0, 2.9)",3,1.15,"(3.0, 3.1)",4,1.45,"(3.0, 3.4)",5,1.75,"(3.0, 3.7)",6,1.95,"(3.0, 3.9)",7,2.25,"(3.0, 4.2)",8,2.55,"(3.0, 4.5)",9,2.75,"(3.0, 4.7)"
E,C,D,"[3.9, 1.9]","[-65, -64, -75, -73, -78, -73]",4,0.141,"(3.8, 1.8)",0,0.985,"(3.0, 2.3)",1,0.762,"(3.2, 2.2)",2,0.539,"(3.4, 2.1)",3,0.3,"(3.6, 1.9)",4,0.141,"(3.8, 1.8)",5,0.224,"(4.0, 1.7)",6,0.5,"(4.2, 1.5)",7,0.707,"(4.4, 1.4)",8,0.922,"(4.6, 1.3)",9,1.204,"(4.8, 1.1)"
B,A,E,"[3.9, 7]","[-79, -75, -71, -50, -56, -54]",3,0.906,"(3.0, 6.9)",0,1.14,"(3.0, 7.7)",1,0.985,"(3.0, 7.4)",2,0.906,"(3.0, 7.1)",3,0.906,"(3.0, 6.9)",4,0.985,"(3.0, 6.6)",5,1.14,"(3.0, 6.3)",6,1.273,"(3.0, 6.1)",7,1.5,"(3.0, 5.8)",8,1.749,"(3.0, 5.5)",9,1.924,"(3.0, 5.3)"
C,E,D,"[4.5, 1.5]","[-76, -64, -63, -66, -74, -60]",7,0.141,"(4.4, 1.4)",0,1.7,"(3.0, 2.3)",1,1.476,"(3.2, 2.2)",2,1.253,"(3.4, 2.1)",3,0.985,"(3.6, 1.9)",4,0.762,"(3.8, 1.8)",5,0.539,"(4.0, 1.7)",6,0.3,"(4.2, 1.5)",7,0.141,"(4.4, 1.4)",8,0.224,"(4.6, 1.3)",9,0.5,"(4.8, 1.1)"
B,A,E,"[4.4, 6.5]","[-82, -68, -72, -61, -65, -51]",4,1.404,"(3.0, 6.6)",0,1.844,"(3.0, 7.7)",1,1.664,"(3.0, 7.4)",2,1.523,"(3.0, 7.1)",3,1.456,"(3.0, 6.9)",4,1.404,"(3.0, 6.6)",5,1.414,"(3.0, 6.3)",6,1.456,"(3.0, 6.1)",7,1.565,"(3.0, 5.8)",8,1.72,"(3.0, 5.5)",9,1.844,"(3.0, 5.3)"
E,B,D,"[3.9, 1.9]","[-70, -64, -79, -70, -80, -73]",7,0.949,"(4.8, 2.2)",0,3.126,"(4.3, 5.0)",1,2.746,"(4.4, 4.6)",2,2.377,"(4.5, 4.2)",3,1.992,"(4.5, 3.8)",4,1.655,"(4.6, 3.4)",5,1.36,"(4.7, 3.0)",6,1.063,"(4.7, 2.6)",7,0.949,"(4.8, 2.2)",8,1.005,"(4.9, 1.8)",9,1.118,"(4.9, 1.4)"
B,D,E,"[4.4, 5.6]","[-74, -61, -73, -47, -70, -46]",0,0.608,"(4.3, 5.0)",0,0.608,"(4.3, 5.0)",1,0.632,"(4.2, 5.0)",2,0.671,"(4.1, 5.0)",3,0.781,"(3.9, 5.0)",4,0.849,"(3.8, 5.0)",5,0.922,"(3.7, 5.0)",6,1.082,"(3.5, 5.0)",7,1.166,"(3.4, 5.0)",8,1.253,"(3.3, 5.0)",9,1.432,"(3.1, 5.0)"
B,A,E,"[3.9, 7]","[-80, -75, -71, -50, -56, -54]",3,0.906,"(3.0, 6.9)",0,1.14,"(3.0, 7.7)",1,0.985,"(3.0, 7.4)",2,0.906,"(3.0, 7.1)",3,0.906,"(3.0, 6.9)",4,0.985,"(3.0, 6.6)",5,1.14,"(3.0, 6.3)",6,1.273,"(3.0, 6.1)",7,1.5,"(3.0, 5.8)",8,1.749,"(3.0, 5.5)",9,1.924,"(3.0, 5.3)"
