e8:2c:6d:0d:ee:a2,-89,-85
f8:ab:05:4f:90:86,-73,-64,-67,-68,-67,-67,-63,-67,-67,-66,-67,-64,-63,-66,-62,-65,-61,-65,-63,-63,-65,-65,-66,-64,-65,-64,-65,-66,-66,-66,-67,-65,-66
f8:ab:05:4f:90:85,-91,-89,-88,-90,-89,-89,-89,-93,-90,-89,-89,-89,-90,-91,-92,-90,-91,-90,-91,-92,-91,-91,-92,-90,-91,-91,-91,-90,-90,-91
90:72:82:f2:08:76,-84,-84,-85,-84,-85,-83,-83,-86,-83,-84,-83,-84,-82,-87
5c:8f:e0:5a:a6:77,-80,-80,-80,-86,-74,-80,-81
62:e3:27:a1:06:14,-82,-87,-82
58:d5:6e:a9:68:33,-67,-76
5c:8f:e0:30:0a:37,-83,-83,-78
26:f5:a2:58:ba:17,-86,-83,-83
ac:f1:df:c8:c1:aa,-79,-77,-90,-77,-89,-77,-88,-76,-88,-78,-90,-77,-89,-76,-87,-89,-76,-80,-88,-78,-88,-77,-90,-77,-78,-88,-78,-90,-76,-90,-74,-89,-75,-88,-79,-78,-89,-77,-89,-88,-78,-90,-77,-90,-78,-77,-88,-78,-89,-78,-89,-77,-88,-76,-89,-76,-88,-77,-88,-78,-90,-76,-89
7c:8b:ca:f9:9a:95,-82,-84,-84,-83,-79,-83,-81,-77,-81,-81,-81,-82,-82,-81
18:a6:f7:bc:ed:39,-75,-71,-72,-70,-71,-73,-71,-72,-71,-71,-73,-72,-74,-72,-73,-73,-72,-75,-73,-72,-70,-72,-71
40:65:a3:ac:56:a6,-85,-85,-81,-83,-84,-84,-86,-85,-81,-85,-82,-78,-81
ec:ad:e0:d4:e8:f8,-76,-75
42:65:a3:a8:a7:4e,-86
2c:79:d7:09:6c:f6,-95
